[0.17123845,0.22377448];[1.10884884e-05,5.05479116e-04,2.93888907e-01,9.55839450e-01];[[3.20000005, 0.90000001], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[232.80202816404585], [227.63120432576238], [0], [0], [0], [0], [0], [0], [0], [0]];[3.20000005,0.90000001]
[2.94918306,0.82872044];[-0.00190546,-0.00118012,0.13335275,0.9910661];[[3.30407048, -1.40754824], [5.70000009, -1.15000002], [1.50000002, 3.10000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[189.1874212700913], [168.5898547881666], [190.40647242859197], [0], [0], [0], [0], [0], [0], [0]];[1.50000002,3.10000004]
[1.62846768,2.8952255];[-0.00373744,0.0017702,0.88138172,0.47238665];[[1.59686539, 3.31234891], [4.87222385, -0.38061289], [3.80099294, -1.52182027], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[40.42971831384116], [36.96980742612746], [513.4681856172344], [0], [0], [0], [0], [0], [0], [0]];[3.80099294,-1.52182027]
[3.68865457,-1.29768101];[-2.57951856e-04,-3.57369172e-03,-5.19775697e-01,8.54295248e-01];[[0.07141512, -3.15701701], [5.30000008, -2.80000004], [5.10000007, -0.40000001], [-1.30000002, -0.1], [-2.10000003, 5.10000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.645263208141676], [10.231050234102556], [10.231050234102556], [28.211831794543496], [11.624509670071804], [0], [0], [0], [0], [0]];[-1.30000002,-0.1]
[-1.0672145,-0.1400813];[-0.00170737,0.00193617,0.99815002,0.06074411];[[-3.60000007, -0.99999972], [-1.05000003, -3.94999976], [5.90000007, -3.29999975], [5.20000006, -0.39999971], [-1.60000004, 5.20000037], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.74062771327421], [27.061967238055324], [17.156053879642645], [17.156053879642652], [17.91869715692347], [0], [0], [0], [0], [0]];[-1.05000003,-3.94999976]
[-1.10056384,-3.76890484];[-0.00398883,-0.0057872,-0.6106242,0.79188931];[[5.10141997, -0.17103321], [-3.89999977, 0.5500003], [5.90000038, -3.29999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.428142625274614], [19.21902328194413], [18.42814262527462], [0], [0], [0], [0], [0], [0], [0]];[-3.89999977,0.5500003]
[-3.76992522,0.34208385];[-7.89508327e-03,2.94200754e-04,8.71698443e-01,4.89978987e-01];[[6.74043018, -3.60007555], [-4.04999974, 0.64999992], [-4.91412234, -1.6051212], [6.97863579, -0.69482154], [5.2000004, -0.40000009], [-2.29999971, 5.29999999], [-7.69999979, 0.49999992], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.92533061302624], [24.55880728947118], [17.061083961976585], [15.925330613026214], [19.856302305418268], [16.476435679704363], [17.06108396197656], [0], [0], [0]];[-4.04999974,0.64999992]
[-3.84925767,0.47518559];[-7.83014748e-03,3.05818286e-04,8.64402449e-01,5.02739465e-01];[[-1.07225474, 5.03769792], [-4.4782805, 0.05377164], [6.88155746, -0.6893751], [6.20000063, -3.50000014], [5.20000061, -0.40000009], [-7.79999958, 0.59999992], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.031367407405163], [35.190759218838394], [19.8980232745593], [15.925330613026214], [35.82060916787067], [17.061083961976585], [0], [0], [0], [0]];[5.20000061,-0.40000009]
[4.95115788,-0.36447372];[-0.0031044,-0.00355861,-0.07289789,0.99732823];[[-4.79496532, 0.000468086824], [8.80000047, 2.19999995], [-1.59999968, 5.29999999], [-7.19999977, 2.19999995], [-7.69999977, 0.59999992], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[51.198310958583015], [27.62562531003559], [23.72483090202897], [82.46913823001294], [60.69017251488238], [0], [0], [0], [0], [0]];[-7.19999977,2.19999995]
[-7.46302109,-2.3989189];[-0.00119371,-0.00219257,-0.57764989,0.81628082];[[-1.59999948, 5.29999999], [-4.39999952, -4.40000015], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[53.327712016442156], [70.08486721415727], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.39999952,-4.40000015]
[-4.60505773,-4.26781416];[0.00110042,0.00159194,-0.27467663,0.96153471];[[7.94585371, -0.18097317], [-1.59999948, 5.29999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[54.01226848709997], [47.864127834478104], [0], [0], [0], [0], [0], [0], [0], [0]];[7.94585371,-0.18097317]
